NAME,HREF,CHANGE_%,CHANGE_NOK,LAST,BUY,SELL,HIGH,LOW,REVENUE_MNOK,TIME_HHMMSS,TIME_SECS
BerGenBio,https://www.nordnet.no//market/stocks/16263887-ber-gen-bio,18.51,7.2,46.1,46.1,46.1,46.15,41.3,194,17:37:00,63420
Star Bulk Carriers,https://www.nordnet.no//market/stocks/16900133-star-bulk-carriers,12.78,5.2,45.9,43.1,59.6,45.9,43.0,0.4,17:37:00,63420
SeaBird Exploration,https://www.nordnet.no//market/stocks/16105654-sea-bird-exploration,11.11,0.0245,0.245,0.245,0.245,0.274,0.245,5.2,17:37:00,63420
Golden Ocean Group,https://www.nordnet.no//market/stocks/16586207-golden-ocean-group,11.03,3.12,31.4,31.4,31.4,31.64,29.14,34,17:37:00,63420
Nordic Nanovector,https://www.nordnet.no//market/stocks/16156313-nordic-nanovector,9.72,2.04,23.02,23.02,23.02,25.86,22.72,40,17:37:00,63420
Fjordkraft Holding,https://www.nordnet.no//market/stocks/16845081-fjordkraft-holding,9.57,7.2,82.4,82.4,82.4,84.0,75.5,19,17:37:00,63420
BW Offshore Limited,https://www.nordnet.no//market/stocks/16634542-bw-offshore-limited,9.45,2.58,29.88,29.88,29.88,30.66,27.9,48,17:37:00,63420
Vistin Pharma,https://www.nordnet.no//market/stocks/16411097-vistin-pharma,9.09,1.0,12.0,12.0,12.0,12.35,11.05,9.2,17:37:00,63420
GC Rieber Shipping,https://www.nordnet.no//market/stocks/16105618-gc-rieber-shipping,9.05,0.44,5.3,4.58,5.3,5.3,4.7,0.2,17:37:00,63420
Gaming Innovation Group,https://www.nordnet.no//market/stocks/16976873-gaming-innovation-group,7.99,0.37,5.0,5.0,5.0,5.16,4.76,1.2,17:37:00,63420
Magseis Fairfield,https://www.nordnet.no//market/stocks/16294053-magseis-fairfield,6.67,0.08,1.28,1.28,1.28,1.28,1.21,1.6,17:37:00,63420
Biotec Pharmacon,https://www.nordnet.no//market/stocks/16105633-biotec-pharmacon,6.58,1.5,24.3,24.3,24.3,24.5,22.8,12,17:37:00,63420
Medistim,https://www.nordnet.no//market/stocks/16105610-medistim,6.58,12.0,194.5,194.5,194.5,195.0,182.5,3.3,17:37:00,63420
Norske Skog,https://www.nordnet.no//market/stocks/17134373-norske-skog,6.47,1.65,27.15,27.15,27.15,27.3,25.6,4.6,17:37:00,63420
