SECTOR,TICKER,NAME,HREF,LAST,CHANGE_%,SELL,BUY,TURNOVER_MNOK,TRADES_COUNT,MARKETCAP_MNOK,TIME_HHMMSS,TIME_SECS
Helsevern,BGBIO,BerGenBio,https://www.oslobors.no/markedsaktivitet#/details/BGBIO.OSE,46.1,18.51,0.0,0.0,194.17,6879,3998.06,06:13:28,22408
Industri,SBLK,Star Bulk Carriers,https://www.oslobors.no/markedsaktivitet#/details/SBLK.OSE,45.9,12.78,0.0,0.0,0.39,39,4162.51,06:13:28,22408
Energi,SBX,SeaBird Exploration,https://www.oslobors.no/markedsaktivitet#/details/SBX.OSE,0.25,11.11,0.0,0.0,5.16,852,132.04,06:13:28,22408
Industri,GOGL,Golden Ocean Group,https://www.oslobors.no/markedsaktivitet#/details/GOGL.OSE,31.4,11.03,0.0,0.0,33.73,2003,4498.92,06:13:28,22408
Helsevern,NANO,Nordic Nanovector,https://www.oslobors.no/markedsaktivitet#/details/NANO.OSE,23.02,9.72,0.0,0.0,40.02,2384,1523.05,06:13:28,22408
Forsyning,FKRAFT,Fjordkraft Holding,https://www.oslobors.no/markedsaktivitet#/details/FKRAFT.OSE,82.4,9.57,0.0,0.0,19.05,758,8616.75,06:13:28,22408
Energi,BWO,BW Offshore Limited,https://www.oslobors.no/markedsaktivitet#/details/BWO.OSE,29.88,9.45,0.0,0.0,47.85,2134,5414.03,06:13:28,22408
Helsevern,VISTIN,Vistin Pharma,https://www.oslobors.no/markedsaktivitet#/details/VISTIN.OSE,12.0,9.09,0.0,0.0,9.19,295,532.14,06:13:28,22408
Industri,RISH,GC Rieber Shipping,https://www.oslobors.no/markedsaktivitet#/details/RISH.OSE,5.3,9.05,0.0,0.0,0.16,12,455.97,06:13:28,22408
Forbruksvarer,GIG,Gaming Innovation Group,https://www.oslobors.no/markedsaktivitet#/details/GIG.OSE,5.0,7.99,0.0,0.0,1.22,160,446.45,06:13:28,22408
Energi,MSEIS,Magseis Fairfield,https://www.oslobors.no/markedsaktivitet#/details/MSEIS.OSE,1.28,6.67,0.0,0.0,1.63,248,341.47,06:13:28,22408
Helsevern,BIOTEC,Biotec Pharmacon,https://www.oslobors.no/markedsaktivitet#/details/BIOTEC.OSE,24.3,6.58,0.0,0.0,11.72,564,1174.53,06:13:28,22408
Helsevern,MEDI,Medistim,https://www.oslobors.no/markedsaktivitet#/details/MEDI.OSE,194.5,6.58,0.0,0.0,3.31,163,3540.06,06:13:28,22408
Materialer,NSKOG,Norske Skog,https://www.oslobors.no/markedsaktivitet#/details/NSKOG.OSE,27.15,6.47,0.0,0.0,4.63,650,2239.88,06:13:28,22408
Energi,SDSD,S.D. Standard Drilling,https://www.oslobors.no/markedsaktivitet#/details/SDSD.OSE,0.73,6.1,0.0,0.0,0.75,125,420.5,06:13:28,22408
IT,ITE,Itera,https://www.oslobors.no/markedsaktivitet#/details/ITE.OSE,10.65,5.97,0.0,0.0,0.3,21,866.39,06:13:28,22408
Industri,NKR,Nekkar,https://www.oslobors.no/markedsaktivitet#/details/NKR.OSE,2.88,5.88,0.0,0.0,0.83,66,304.17,06:13:28,22408
Energi,EMGS,Electromagnetic Geoservices,https://www.oslobors.no/markedsaktivitet#/details/EMGS.OSE,0.6,5.26,0.0,0.0,0.11,53,78.58,06:13:28,22408
IT,PEXIP,Pexip Holding,https://www.oslobors.no/markedsaktivitet#/details/PEXIP.OSE,92.0,5.14,0.0,0.0,247.38,5504,9107.66,06:13:28,22408
Industri,BEL,Belships,https://www.oslobors.no/markedsaktivitet#/details/BEL.OSE,6.15,5.13,0.0,0.0,0.02,4,1301.81,06:13:28,22408
Energi,DNO,DNO,https://www.oslobors.no/markedsaktivitet#/details/DNO.OSE,4.46,5.04,0.0,0.0,47.06,2180,4350.43,06:13:28,22408
Materialer,ELK,Elkem,https://www.oslobors.no/markedsaktivitet#/details/ELK.OSE,16.57,4.94,0.0,0.0,14.0,575,9632.31,06:13:28,22408
IT,NORBIT,NORBIT,https://www.oslobors.no/markedsaktivitet#/details/NORBIT.OSE,13.9,4.91,0.0,0.0,0.81,103,789.34,06:13:28,22408
Industri,JIN,Jinhui Shipping and Transportation,https://www.oslobors.no/markedsaktivitet#/details/JIN.OSE,3.44,4.88,0.0,0.0,0.26,25,375.85,06:13:28,22408
Energi,EQNR,Equinor,https://www.oslobors.no/markedsaktivitet#/details/EQNR.OSE,139.2,4.85,0.0,0.0,953.18,17528,459840.31,06:13:28,22408
Industri,WWI,Wilh. Wilhelmsen Holding ser. A,https://www.oslobors.no/markedsaktivitet#/details/WWI.OSE,99.6,4.84,0.0,0.0,0.09,12,3386.4,06:13:28,22408
Energi,EIOF,Eidesvik Offshore,https://www.oslobors.no/markedsaktivitet#/details/EIOF.OSE,3.5,4.79,0.0,0.0,0.0,4,217.53,06:13:28,22408
