NAME,HREF,CHANGE_%,CHANGE_NOK,CLOSE,BUY,SELL,HIGH,LOW,REVENUE_MNOK,TIME_HHMMSS,TIME_SECS
NEXT Biometrics Group,https://www.nordnet.no//market/stocks/16300344-next-biometrics-group,30.37,0.82,3.52,3.5,3.52,3.645,2.985,23,17:37:00,63420
Treasure,https://www.nordnet.no//market/stocks/16561379-treasure,18.95,1.8,11.3,10.5,11.3,12.7,10.6,32,17:37:00,63420
Kongsberg Automotive,https://www.nordnet.no//market/stocks/16105626-kongsberg-automotive,8.73,0.122,1.52,1.518,1.52,1.786,1.226,242,17:37:00,63420
Carasent,https://www.nordnet.no//market/stocks/16105603-carasent,8.63,1.35,17.0,16.7,17.0,17.4,14.65,3.7,17:37:00,63420
Scana,https://www.nordnet.no//market/stocks/16105426-scana,7.14,0.06,0.9,0.84,0.9,0.91,0.84,0.1,17:37:00,63420
Navamedic,https://www.nordnet.no//market/stocks/16105660-navamedic,6.22,1.4,23.9,23.3,23.9,24.0,22.4,1.5,17:37:00,63420
Ultimovacs,https://www.nordnet.no//market/stocks/17058977-ultimovacs,5.26,2.2,44.0,42.8,43.9,44.0,40.0,0.9,17:37:00,63420
Norwegian Energy Company,https://www.nordnet.no//market/stocks/16105726-norwegian-energy-company,5.05,7.5,156.0,155.5,165.0,159.5,149.0,1.5,17:37:00,63420
Observe Medical,https://www.nordnet.no//market/stocks/17141054-observe-medical,4.86,0.9,19.4,17.9,19.4,20.4,18.0,1.1,17:37:00,63420
Okeanis Eco Tankers,https://www.nordnet.no//market/stocks/16893906-okeanis-eco-tankers,4.78,3.0,65.8,65.0,65.8,65.8,61.6,10,17:37:00,63420
Photocure,https://www.nordnet.no//market/stocks/16105593-photocure,4.06,2.9,74.3,74.3,75.1,75.3,70.3,45,17:37:00,63420
Odfjell ser. B,https://www.nordnet.no//market/stocks/16105683-odfjell-b,3.96,0.8,21.0,20.2,21.2,21.0,19.7,0,17:37:00,63420
Norwegian Finans Holding,https://www.nordnet.no//market/stocks/16151698-norwegian-finans-holding,3.82,2.05,55.7,55.5,55.7,55.7,51.35,35,17:37:00,63420
Adevinta,https://www.nordnet.no//market/stocks/17029243-adevinta,3.7,3.55,99.4,99.35,99.85,100.8,92.3,43,17:37:00,63420
Crayon Group Holding,https://www.nordnet.no//market/stocks/16770487-crayon-group-holding,3.69,2.2,61.8,61.3,61.8,62.4,58.0,23,17:37:00,63420
Reach Subsea,https://www.nordnet.no//market/stocks/16105668-reach-subsea,3.45,0.04,1.2,1.08,1.23,1.2,1.11,0,17:37:00,63420
Webstep,https://www.nordnet.no//market/stocks/16159227-webstep,3.43,0.6,18.1,17.2,18.1,18.1,17.2,0,17:37:00,63420
Norwegian Air Shuttle,https://www.nordnet.no//market/stocks/16105606-norwegian-air-shuttle,3.41,0.18,5.452,5.41,5.452,5.638,5.28,61,17:37:00,63420
Bonheur,https://www.nordnet.no//market/stocks/16105637-bonheur,2.86,5.4,194.4,194.2,198.0,205.0,189.0,29,17:37:00,63420
Aega,https://www.nordnet.no//market/stocks/16105328-aega,2.7,0.03,1.14,1.14,1.2,1.22,1.14,0.1,17:37:00,63420
Odfjell ser. A,https://www.nordnet.no//market/stocks/16105682-odfjell-a,2.43,0.5,21.1,20.3,21.1,21.8,20.3,0,17:37:00,63420
Biotec Pharmacon,https://www.nordnet.no//market/stocks/16105633-biotec-pharmacon,2.27,0.5,22.5,22.5,22.8,23.3,21.4,11,17:37:00,63420
Atea,https://www.nordnet.no//market/stocks/16105662-atea,2.0,1.8,91.8,91.8,92.1,92.4,89.2,12,17:37:00,63420
Itera,https://www.nordnet.no//market/stocks/16105588-itera,1.94,0.2,10.5,10.0,10.5,10.5,10.45,0.1,17:37:00,63420
NRC Group,https://www.nordnet.no//market/stocks/16105636-nrc-group,1.79,0.45,25.65,25.65,25.8,26.8,25.0,1.3,17:37:00,63420
SalMar,https://www.nordnet.no//market/stocks/16105712-sal-mar,1.78,7.5,428.3,428.0,428.3,429.9,415.0,88,17:37:00,63420
Gaming Innovation Group,https://www.nordnet.no//market/stocks/16976873-gaming-innovation-group,1.77,0.08,4.61,4.51,4.61,4.8,4.525,0.8,17:37:00,63420
Element,https://www.nordnet.no//market/stocks/16105696-element,1.71,0.06,3.57,3.47,3.64,3.68,3.45,1.0,17:37:00,63420
Sparebanken Telemark,https://www.nordnet.no//market/stocks/16932847-sparebanken-telemark,1.68,2.0,121.0,118.0,124.0,122.0,121.0,0.2,17:37:00,63420
Hexagon Composites,https://www.nordnet.no//market/stocks/16105432-hexagon-composites,1.67,0.46,27.94,27.92,27.94,28.8,27.6,22,17:37:00,63420
IDEX Biometrics,https://www.nordnet.no//market/stocks/16105761-idex-biometrics,1.65,0.028,1.73,1.73,1.74,1.748,1.62,12,17:37:00,63420
AKVA Group,https://www.nordnet.no//market/stocks/16105694-akva-group,1.53,0.8,53.0,50.4,53.0,54.6,52.0,0.2,17:37:00,63420
Bouvet,https://www.nordnet.no//market/stocks/16105711-bouvet,1.52,7.0,468.0,463.0,470.0,470.0,461.0,2.0,17:37:00,63420
Bakkafrost,https://www.nordnet.no//market/stocks/16105763-bakkafrost,1.49,8.5,578.5,577.5,578.5,581.5,557.5,142,17:37:00,63420
Vistin Pharma,https://www.nordnet.no//market/stocks/16411097-vistin-pharma,1.42,0.15,10.7,10.4,10.75,10.7,10.1,1.5,17:37:00,63420
Hunter Group,https://www.nordnet.no//market/stocks/16105713-hunter-group,1.41,0.05,3.6,3.59,3.6,3.61,3.5,6.1,17:37:00,63420
Infront,https://www.nordnet.no//market/stocks/16723845-infront,1.3,0.25,19.45,19.45,19.8,20.4,18.45,0.4,17:37:00,63420
Zalaris,https://www.nordnet.no//market/stocks/16299948-zalaris,1.11,0.4,36.5,36.3,37.0,38.2,36.3,0.4,17:37:00,63420
Europris,https://www.nordnet.no//market/stocks/16418421-europris,1.03,0.4,39.4,39.22,39.4,39.62,38.5,28,17:37:00,63420
Scatec Solar,https://www.nordnet.no//market/stocks/16324395-scatec-solar,0.92,1.6,175.7,175.3,175.7,176.6,171.6,89,17:37:00,63420
Mowi,https://www.nordnet.no//market/stocks/16105427-mowi,0.88,1.6,183.4,182.7,183.4,184.0,176.1,355,17:37:00,63420
GC Rieber Shipping,https://www.nordnet.no//market/stocks/16105618-gc-rieber-shipping,0.82,0.04,4.9,4.9,5.3,4.9,4.9,0,17:37:00,63420
Helgeland Sparebank,https://www.nordnet.no//market/stocks/16105591-helgeland-sparebank,0.73,0.5,69.0,67.5,70.0,69.0,69.0,0,17:37:00,63420
Fjordkraft Holding,https://www.nordnet.no//market/stocks/16845081-fjordkraft-holding,0.66,0.5,76.3,75.7,76.3,77.2,75.3,17,17:37:00,63420
