NAME,HREF,CHANGE_%,CHANGE_NOK,LAST,BUY,SELL,HIGH,LOW,REVENUE_MNOK,TIME_HHMMSS,TIME_SECS
Aqua Bio Technology,https://www.nordnet.no//market/stocks/16105727-aqua-bio-technology,21.9,0.46,2.56,2.32,2.56,2.72,2.1,0.4,17:37:00,63420
Multiconsult,https://www.nordnet.no//market/stocks/16407289-multiconsult,20.0,10.5,63.0,63.0,63.0,68.0,56.5,3.6,17:37:00,63420
Biotec Pharmacon,https://www.nordnet.no//market/stocks/16105633-biotec-pharmacon,16.96,3.8,26.2,26.2,26.2,28.0,22.4,27,17:37:00,63420
Team Tankers International,https://www.nordnet.no//market/stocks/16377379-team-tankers-international,11.9,0.5,4.7,4.16,4.78,4.78,4.22,0,17:37:00,63420
BW Offshore Limited,https://www.nordnet.no//market/stocks/16634542-bw-offshore-limited,11.4,3.9,38.1,38.1,38.1,38.1,32.7,72,17:37:00,63420
Höegh LNG Holdings,https://www.nordnet.no//market/stocks/16105314-hoegh-lng-holdings,11.06,0.93,9.34,9.34,9.34,9.89,8.12,2.8,17:37:00,63420
Targovax,https://www.nordnet.no//market/stocks/16298994-targovax,10.52,0.79,8.3,8.3,8.3,8.3,7.38,3.5,17:37:00,63420
FLEX LNG,https://www.nordnet.no//market/stocks/17011550-flex-lng,10.39,4.66,49.5,49.5,49.5,49.5,44.5,12,17:37:00,63420
Observe Medical,https://www.nordnet.no//market/stocks/17141054-observe-medical,10.29,1.75,18.75,17.25,18.75,18.95,17.15,0.3,17:37:00,63420
BW LPG,https://www.nordnet.no//market/stocks/16247917-bw-lpg,9.99,3.06,33.7,33.7,33.7,33.7,30.32,31,17:37:00,63420
Nekkar,https://www.nordnet.no//market/stocks/16105423-nekkar,9.97,0.29,3.2,3.2,3.2,3.2,2.89,0.8,17:37:00,63420
Napatech,https://www.nordnet.no//market/stocks/16250823-napatech,9.28,0.36,4.24,4.24,4.24,4.24,3.7,0.6,17:37:00,63420
Prosafe,https://www.nordnet.no//market/stocks/17107917-prosafe,9.14,0.128,1.528,1.41,1.528,1.53,1.31,0.5,17:37:00,63420
Selvaag Bolig,https://www.nordnet.no//market/stocks/16105342-selvaag-bolig,8.6,3.7,46.7,46.7,46.7,47.5,45.1,11,17:37:00,63420
Infront,https://www.nordnet.no//market/stocks/16723845-infront,7.69,1.5,21.0,20.5,21.3,21.0,19.55,0.5,17:37:00,63420
Borr Drilling,https://www.nordnet.no//market/stocks/17072519-borr-drilling,7.52,0.415,5.935,5.935,5.935,6.1,5.345,11,17:37:00,63420
EAM Solar,https://www.nordnet.no//market/stocks/16186854-eam-solar,7.35,0.9,13.15,13.15,13.15,14.0,12.3,0.4,17:37:00,63420
